,net,con,reductionType,variation,it,meanAA,stdAA,meanSpike,stdSpike,BurstD0,BurstD1,BurstD2,BurstD3,BurstD4,BurstD5,MeanNrActivationsPerAstrocyte
8,1,0,2,2,8,250.616822429907,1617.81388579243,82.50531914893621,21.033028064903,16.5010638297872,4.2066056129805895,0.587234042553192,0.530201495730771,2.9515746369468796,2.2111386424309702,0.1320754716981132
9,1,0,2,2,9,240.448598130841,1820.9072003824301,76.89893617021279,21.5686780125415,15.379787234042599,4.3137356025083,0.506382978723404,0.509653305321539,2.3827897132418197,2.17988542839064,0.19811320754716985
0,1,1,2,0,0,133.691588785047,1038.85963189887,94.9308510638298,23.1015451569239,18.986170212765998,4.62030903138477,0.804255319148936,0.676649268590806,3.32644031500417,2.50355679268246,0.1320754716981132
1,1,1,2,0,1,119.495327102804,926.643428925435,98.7446808510638,23.767909784759002,19.7489361702128,4.7535819569518,0.774468085106383,0.635967376758107,2.88665734383821,1.9203635907686898,0.18867924528301888
2,1,1,2,0,2,249.271028037383,1621.6781579706699,79.80851063829792,23.030634822665895,15.9617021276596,4.606126964533191,0.5,0.49744025622243104,2.45182792975365,2.18000146819528,0.16037735849056606
3,1,1,2,0,3,135.485981308411,1137.67193310443,92.531914893617,22.757838082856697,18.506382978723398,4.55156761657134,0.643617021276596,0.5705649515748361,2.96944406066743,2.50347592423362,0.14150943396226415
4,1,1,2,0,4,178.83177570093497,1342.0030466836,89.73404255319151,21.2248226476388,17.946808510638302,4.24496452952776,0.6808510638297869,0.577094076873691,3.12844171195216,2.49504561400322,0.16981132075471694
5,1,1,2,0,5,121.130841121495,890.972146623098,98.281914893617,24.422484681852303,19.656382978723396,4.88449693637046,0.713829787234042,0.566831631692506,3.1287019127445697,2.12728718239422,0.1509433962264151
6,1,1,2,0,6,52.0093457943925,329.149725761288,105.49468085106399,25.215348530089503,21.098936170212802,5.04306970601791,0.7617021276595741,0.626219046541058,3.47635290241671,2.6626911226525,0.18867924528301888
7,1,1,2,0,7,123.71028037383199,947.911792589283,94.4414893617021,22.838745119486397,18.8882978723404,4.56774902389729,0.765957446808511,0.623059232095845,3.02236402781621,2.21625037585181,0.16037735849056606
8,1,1,2,0,8,102.420560747664,641.4286629631649,106.260638297872,26.939276546878,21.252127659574498,5.3878553093756,0.8244680851063829,0.686679672325965,3.18392012833507,2.36136715938912,0.16037735849056606
9,1,1,2,0,9,75.48598130841121,409.761370366458,98.82978723404258,21.5944921552717,19.7659574468085,4.31889843105435,0.721276595744681,0.5692234987945419,3.3324821159927898,2.34322018033532,0.1792452830188679
0,1,1,2,1,0,39.0280373831776,383.984361488995,113.73404255319099,28.104923295483303,22.7468085106383,5.62098465909665,0.972340425531915,0.780671322579286,3.11984116349684,2.0993114016386003,0.018867924528301886
1,1,1,2,1,1,0.0,0.0,116.20744680851101,28.058914991540398,23.241489361702104,5.6117829983080805,0.9372340425531909,0.740109831204369,2.9844229721224904,1.91466311326306,0.0
2,1,1,2,1,2,0.0,0.0,116.71276595744699,29.2996704434395,23.342553191489397,5.85993408868789,0.947872340425532,0.726435295826257,3.76323700635337,2.5242234732188598,0.0
3,1,1,2,1,3,0.0,0.0,110.46276595744699,30.1318679256681,22.092553191489397,6.02637358513362,0.9744680851063829,0.669858062166549,3.41265444071307,2.0168490323500903,0.0
4,1,1,2,1,4,0.0,0.0,114.67553191489401,29.7263411599817,22.935106382978702,5.94526823199633,0.934042553191489,0.728967966416609,3.8308366795732405,2.9754945356666602,0.0
5,1,1,2,1,5,0.0,0.0,107.728723404255,26.672478134955202,21.5457446808511,5.33449562699105,0.846808510638298,0.6769301996858449,3.31302916941212,3.00588065175293,0.0
6,1,1,2,1,6,0.0,0.0,112.29255319148899,25.1066776713682,22.458510638297895,5.02133553427364,0.932978723404255,0.675701101279782,3.29968393708201,2.05980412888692,0.0
7,1,1,2,1,7,0.0,0.0,100.46276595744699,24.4680359620228,20.092553191489397,4.89360719240456,0.681914893617021,0.553415462024659,2.9744529259156605,2.08055260968092,0.0
8,1,1,2,1,8,0.0,0.0,116.86170212766001,26.8954243770555,23.3723404255319,5.379084875411099,1.08297872340426,0.7522502834223521,4.08221238285761,2.7107905456691097,0.0
9,1,1,2,1,9,0.0,0.0,119.30319148936199,29.175525126553303,23.8606382978723,5.83510502531065,1.16170212765957,0.8043903973022479,3.8342300896192096,1.94326815734163,0.0
0,1,1,2,2,0,38.065420560747704,391.90749125458,118.20744680851101,30.3480615223125,23.641489361702103,6.0696123044625,0.95,0.7042802271098291,3.1143473304613196,1.8668708288487699,0.0
1,1,1,2,2,1,17.785046728972002,183.108263161666,112.063829787234,26.8945175583135,22.412765957446798,5.3789035116627,0.9265957446808509,0.7118563583164158,3.57284287078169,2.3211385358329104,0.0
2,1,1,2,2,2,0.34579439252336397,3.56017117024784,114.35106382978701,28.948489633481003,22.870212765957497,5.7896979266962,1.0106382978723398,0.78651778802116,3.17173109823345,1.8954250982613798,0.0
3,1,1,2,2,3,71.84112149532709,739.649615829599,114.25,28.296610014238,22.85,5.659322002847589,1.0574468085106399,0.785302403021882,3.50533328964171,1.96911795874179,0.0
4,1,1,2,2,4,32.1308411214953,330.807256305732,105.73404255319099,27.070898063338,21.1468085106383,5.4141796126676,0.851063829787234,0.711268671871138,3.0287438182384103,2.31295847786195,0.0
5,1,1,2,2,5,53.439252336448604,550.19077706695,117.781914893617,30.175907900339602,23.5563829787234,6.03518158006792,1.1,0.813581522416175,3.70030826147852,2.13584033516403,0.0
6,1,1,2,2,6,0.0,0.0,117.531914893617,26.8354727638781,23.506382978723398,5.367094552775621,0.85531914893617,0.669648529799854,2.7736140853827,1.8011710850823,0.009433962264150943
7,1,1,2,2,7,45.87850467289721,472.34811553369303,111.02659574468099,28.154859281783,22.2053191489362,5.6309718563566,0.8882978723404259,0.7134507666114399,3.2636551889072596,2.0253656612858,0.0
8,1,1,2,2,8,100.990654205607,1039.7624233972501,111.14893617021299,23.978916912885698,22.2297872340425,4.795783382577129,0.9585106382978721,0.695717840591007,3.12428297913668,1.7610160169645699,0.0
9,1,1,2,2,9,4.392523364485981,45.2237959463915,102.968085106383,24.9266806248141,20.593617021276604,4.98533612496281,0.710638297872341,0.5954558570391341,2.7272961376684504,1.9279167224886498,0.0
