,net,con,param_F,param_G,it,MeanAA,StdAA,MeanSp,StdSp,BurstD0,BurstD1,BurstD2,BurstD3,BurstD4,BurstD5,MeanNrActivationsPerAstrocyte
1,0,1,2,2,1,10815.3644859813,9495.878478692919,1052.68,326.743094188691,210.53599999999997,65.3486188377383,45.3464,19.080524286297802,8.227632795347201,1.30908824471467,7.886792452830187
2,0,1,2,2,2,11701.7663551402,9001.4389146511,1040.316,324.760207143671,208.0632,64.9520414287342,44.9248,19.0657416577483,8.29551728841914,1.18720819700519,8.632075471698114
3,0,1,2,2,3,11878.4485981308,9619.209288266371,970.9760000000001,307.364811622931,194.1952,61.4729623245862,41.3584,17.9023179906961,8.23148675747742,1.28041136924715,8.254716981132075
4,0,1,2,2,4,11818.056074766399,9364.48318609468,1018.38,320.258413784868,203.676,64.0516827569737,43.5368,18.619963634765803,8.17851888009605,1.25827177492042,8.70754716981132
5,0,1,2,2,5,11064.953271028,8288.215074951751,1063.264,328.301206674602,212.6528,65.6602413349205,42.1472,13.4243037867891,30.480445039232997,6.4971548554533305,8.141509433962264
6,0,1,2,2,6,11129.8785046729,8689.01001288009,995.164,305.57216022406203,199.0328,61.114432044812496,42.2096,17.6926715857159,8.27437755334982,1.28258219370139,7.547169811320754
7,0,1,2,2,7,8959.54205607477,8437.98276517721,991.988,294.643506386956,198.3976,58.9287012773911,42.3256,17.2618163771951,8.19186382208491,1.1937994354226298,6.566037735849058
8,0,1,2,2,8,12222.560747663601,9121.17995541257,1071.652,333.12543417757803,214.3304,66.6250868355156,46.6088,19.5768700910028,8.38288496871479,1.2295853683678302,9.122641509433961
9,0,1,2,2,9,11283.411214953301,8277.4809714533,1088.184,337.78674654876596,217.6368,67.5573493097531,44.3368,14.8321706354802,27.3080611172113,5.2373729847393795,8.339622641509434
0,0,2,2,2,0,9939.607476635509,8979.85398769478,834.64,269.442027902107,166.928,53.8884055804215,34.2128,15.5829084627999,7.7063847094750795,1.17606100978875,7.264150943396228
1,0,2,2,2,1,8700.4953271028,8554.76695157575,824.028,259.594166375133,164.8056,51.9188332750265,33.184,14.662760449519698,8.45295691775682,1.3657611380444,7.09433962264151
