,net,con,in,ex,it,meanAA,stdAA,meanSpike,stdSpike,BurstD0,BurstD1,BurstD2,BurstD3,BurstD4,BurstD5,MeanNrActivationsPerAstrocyte
2,0,2,10,70,2,12802.261682243,9203.794730736941,832.54,264.658346552683,166.50799999999998,52.931669310536606,34.3608,11.0542617736328,23.747872472719198,4.062443075740379,9.235849056603774
3,0,2,10,70,3,11520.046728972,8967.28693316667,894.572,288.36710772208403,178.9144,57.6734215444168,38.0208,12.6509654714571,21.973988660212,3.77270325185336,8.39622641509434
4,0,2,10,70,4,14199.401869158899,8605.665788358921,950.216,311.783208887201,190.0432,62.3566417774402,39.4616,12.801595425571001,24.6412291601618,4.41841141160179,9.962264150943396
5,0,2,10,70,5,14758.0841121495,9037.369321061391,987.68,325.124889234891,197.53599999999997,65.0249778469782,40.2432,12.9073147385504,25.889222335271697,4.73538326876161,10.443396226415095
6,0,2,10,70,6,12377.308411215,8846.64779683984,852.092,274.751137460794,170.4184,54.950227492158795,34.8144,11.353693347981501,24.326676068231002,4.63677396905271,8.537735849056604
7,0,2,10,70,7,13703.8878504673,9251.26490702465,912.7439999999999,303.484481422032,182.5488,60.6968962844065,37.6144,12.516387363772301,24.9598049415274,4.34830733307307,9.88679245283019
8,0,2,10,70,8,14519.906542056102,8409.37941250216,1043.828,353.041864962217,208.7656,70.6083729924433,42.29600000000001,13.960300283303402,25.6091061222403,4.71273064534195,10.632075471698114
9,0,2,10,70,9,13719.2803738318,9142.174594368342,885.816,293.669239356116,177.1632,58.7338478712233,35.4288,11.718899716270302,27.0494246696545,5.066899369480179,9.669811320754716
0,1,0,10,70,0,10529.1401869159,9583.80811913823,863.3439999999999,258.236050279584,172.6688,51.6472100559169,34.824,10.5722383628066,28.111654454960103,4.77233796921954,7.5094339622641515
1,1,0,10,70,1,10651.551401869201,9502.30896410062,916.712,278.36959075301303,183.3424,55.673918150602596,40.251999999999995,15.3701534149793,9.72982423683575,1.4340324871218602,7.452830188679246
2,1,0,10,70,2,9921.401869158879,8847.46144262229,832.804,244.30506663595798,166.5608,48.8610133271916,33.4864,10.1285445667184,28.2258467153504,4.77585548523093,7.254716981132076
3,1,0,10,70,3,9998.51401869159,9630.41040105738,921.824,277.64306766782397,184.3648,55.528613533564794,36.78,11.326023132591601,29.545477289964598,5.04305255521643,7.330188679245283
4,1,0,10,70,4,11909.5514018692,9823.272983915129,959.672,286.627584883242,191.9344,57.325516976648395,39.3872,12.1199008312775,26.2884981620295,4.3036524639405,8.547169811320755
5,1,0,10,70,5,8963.14953271028,9228.41775788724,821.8839999999999,247.65688874731498,164.3768,49.531377749463,33.5216,10.5994987353176,26.156506360145602,4.53593356723251,6.471698113207547
6,1,0,10,70,6,11191.859813084098,9344.81155103049,935.008,284.338403906331,187.0016,56.8676807812663,41.156000000000006,15.859073869554901,9.81206207374656,1.47978172022768,8.641509433962264
7,1,0,10,70,7,9108.16822429906,9326.409663174,896.3960000000001,285.04844357407,179.2792,57.009688714814104,36.796,12.196897310381901,27.183641866057897,4.73790024406693,6.4905660377358485
8,1,0,10,70,8,10395.1962616822,8894.47743227544,967.404,283.486128027457,193.4808,56.697225605491504,39.7528,11.928702031654598,26.448244305274102,4.361092734458049,7.688679245283018
9,1,0,10,70,9,10097.4953271028,9725.16414523926,895.8839999999999,280.11106108827596,179.1768,56.0222122176552,36.3312,11.541205593871,27.508730471365197,4.794842438970889,7.150943396226416
0,1,1,10,70,0,12474.8971962617,10043.265567090899,1043.6,311.62927975400504,208.72,62.325855950801,42.931999999999995,12.296042290102902,26.596322409659802,4.835569483095281,8.79245283018868
1,1,1,10,70,1,11880.242990654198,9876.191481737591,1088.6,314.502680433729,217.72,62.9005360867457,44.2096,12.1557323037323,28.4218037366722,4.7488546178845095,8.971698113207546
2,1,1,10,70,2,12776.906542056102,9388.73432746073,1033.476,296.939753862631,206.6952,59.38795077252621,41.6696,11.3696629607038,28.7044215432554,5.17168325385765,8.933962264150944
3,1,1,10,70,3,12294.738317757,10393.890071096,1116.404,331.622388846109,223.2808,66.32447776922179,44.9216,12.646413461531301,28.5685127315488,4.7251806070105395,9.575471698113207
4,1,1,10,70,4,12964.9626168224,10295.905374236801,1116.0439999999999,328.174176412465,223.2088,65.6348352824931,44.9048,12.4015505869226,29.140479072066803,4.8342163868428605,9.424528301886793
5,1,1,10,70,5,11895.8130841122,10154.8835525112,953.4760000000001,280.716485842923,190.6952,56.1432971685846,39.6576,11.6165210902404,25.075793325836603,4.31088108275253,8.433962264150944
6,1,1,10,70,6,12573.560747663601,10166.7845496049,1108.1680000000001,326.560248309558,221.6336,65.3120496619115,44.2352,11.963185234710698,29.49588858624,5.41131976533254,9.20754716981132
7,1,1,10,70,7,12980.3644859813,9962.03457937222,1187.68,350.343114103874,237.53599999999997,70.06862282077479,47.8712,13.034313582233601,29.553651619864503,5.27025097506355,9.584905660377359
8,1,1,10,70,8,13134.1869158878,9919.54212759527,1147.872,344.99910668869796,229.5744,68.9998213377397,47.0064,13.5865565556546,28.168279038024,4.80656836964672,9.39622641509434
9,1,1,10,70,9,12279.0,11043.4714151482,1051.528,313.391578087223,210.3056,62.6783156174446,43.2384,12.8512896411216,26.267944730625896,4.406558487686571,8.981132075471699
0,1,2,10,70,0,10330.9813084112,9459.791675386241,1038.772,289.361047855443,207.7544,57.8722095710886,42.888000000000005,11.6879671457444,26.3465052560188,4.2241972367199905,7.886792452830187
1,1,2,10,70,1,11290.644859813101,10607.840595435699,1008.7080000000001,302.072174713263,201.7416,60.4144349426526,41.5648,11.7574300321116,26.948443804093,4.70440884246017,8.132075471698114
2,1,2,10,70,2,12674.214953271001,10074.581485733,1030.16,299.170410301554,206.032,59.834082060310706,41.2216,11.183016294363501,30.249370825169397,5.10860654634745,9.09433962264151
3,1,2,10,70,3,11183.2803738318,9877.81042917213,939.72,272.048983824605,187.94400000000002,54.409796764920905,38.5456,11.1349504103072,26.190580060409104,4.39717518671264,7.849056603773584
4,1,2,10,70,4,11351.4672897196,10596.5666325684,988.6039999999999,288.198374707423,197.7208,57.6396749414845,40.7528,11.7129745222979,26.3894665949359,4.31385085666336,8.19811320754717
5,1,2,10,70,5,12418.738317757,10254.7668772734,1114.052,321.589255566787,222.8104,64.31785111335729,50.4376,18.1515317877032,8.93749649490201,1.3206121764741698,9.19811320754717
6,1,2,10,70,6,12325.355140186899,10454.3970736213,1072.7,308.786155777748,214.54,61.75723115554971,43.06,11.695404225592199,28.9168378508097,4.95700214361765,8.924528301886793
7,1,2,10,70,7,13033.4299065421,10601.3298082378,1057.928,312.031554199251,211.5856,62.40631083985021,47.448,17.523230752347,9.09876011759058,1.41969098604224,9.254716981132075
